#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.066664            0.066664                   0
           2             0.05068            0.058672           0.0056512
           3             0.05888           0.0587413          0.00376789
           4            0.061348            0.059393          0.00288172
           5             0.04952           0.0574184          0.00290413
           6            0.057528           0.0574367          0.00242017
           7            0.067258           0.0588397          0.00244757
           8            0.045978            0.057232          0.00261691
           9            0.043386           0.0556936           0.0027413
          10            0.053352           0.0554594          0.00247715
          11            0.058278           0.0557156          0.00226517
          12            0.049564            0.055203          0.00213363
          13             0.06634           0.0560597          0.00213457
          14            0.052394           0.0557979           0.0019981
          15            0.065392           0.0564375           0.0019646
          16            0.050058           0.0560388          0.00188184
          17             0.05731           0.0561135          0.00177263
          18            0.066992           0.0567179          0.00177418
          19            0.071044           0.0574719          0.00183404
          20             0.04575           0.0568858           0.0018336
