#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.999996            0.999996                   0
           2                   1            0.999998         1.41422e-06
           3            0.999924            0.999973         2.01623e-05
           4            0.999952            0.999968         1.58114e-05
           5            0.999994            0.999973         1.34771e-05
           6            0.999998            0.999977         1.18478e-05
           7            0.997476             0.99962         0.000330982
           8            0.999998            0.999667         0.000292963
           9                   1            0.999704         0.000262734
          10                   1            0.999734          0.00023812
          11                   1            0.999758         0.000217699
          12             0.99994            0.999773         0.000200085
          13            0.999948            0.999787         0.000185145
          14            0.999996            0.999802         0.000172523
          15            0.999566            0.999786         0.000161735
          16            0.999994            0.999799         0.000152149
          17            0.999428            0.999777         0.000144754
          18            0.999948            0.999787         0.000137024
          19            0.999976            0.999797         0.000130174
          20                   1            0.999807         0.000124062
