#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1             2.67705             2.67705                   0
           2             2.67703             2.67704         8.83163e-06
           3             2.67693               2.677           3.095e-05
           4             2.67628             2.67682         0.000158129
           5             2.67319              2.6761         0.000662893
