#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             116.935             116.935                   0
           2             116.996             116.966           0.0215632
           3             117.894             117.275            0.253067
           4             119.693              117.88            0.556786
           5             119.714             118.246            0.553265
           6              119.89              118.52            0.524513
           7              119.78               118.7            0.479445
           8             118.797             118.712            0.419668
           9              124.24             119.327            0.688811
          10             122.177             119.612            0.676344
          11             118.596             119.519            0.621127
          12             122.502             119.768            0.617103
          13             113.635             119.296             0.72797
          14              122.18             119.502            0.704516
          15             121.373             119.627            0.668492
          16             115.543             119.372            0.673668
          17             120.655             119.447            0.638255
          18              114.38             119.166            0.661963
          19             121.963             119.313            0.643287
          20             118.498             119.272            0.612413
