#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.992768           -0.992768                   0
           2           -0.992828           -0.992798         2.12132e-05
           3           -0.993836           -0.993144         0.000282862
           4           -0.995208            -0.99366          0.00049467
           5           -0.995108            -0.99395         0.000472971
           6             -0.9952           -0.994158         0.000437653
           7            -0.99494            -0.99427         0.000389128
           8           -0.993544           -0.994179         0.000350902
           9           -0.998572           -0.994667          0.00055594
          10           -0.996804           -0.994881         0.000539854
          11           -0.994132           -0.994813          0.00049505
          12            -0.99688           -0.994985         0.000482841
          13           -0.989772           -0.994584         0.000589135
          14           -0.997116           -0.994765         0.000574143
          15             -0.9966           -0.994887         0.000548747
          16           -0.991936           -0.994703         0.000544568
          17            -0.99558           -0.994754         0.000514974
          18           -0.991028           -0.994547         0.000526333
          19           -0.996856           -0.994669         0.000512465
          20           -0.994256           -0.994648         0.000487257
