#   N_BLOCK:  ACCEPTANCE:
           1            0.007287
           2            0.007232
           3          0.00691667
           4           0.0064095
           5           0.0061004
           6            0.005867
           7          0.00575114
           8          0.00584025
           9          0.00534867
          10           0.0051322
          11          0.00520018
          12            0.005021
          13          0.00541938
          14          0.00523871
          15           0.0051168
          16          0.00529812
          17          0.00524224
          18          0.00544767
          19          0.00532479
          20           0.0053535
