#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.165256            0.165256                   0
           2            0.167026            0.166141         0.000625816
           3            0.142427            0.158236          0.00646764
           4            0.112824            0.146883           0.0109635
           5            0.115221            0.140551           0.0104406
           6              0.1128            0.135926           0.0096708
           7            0.121299            0.133836          0.00851201
           8            0.149575            0.135803          0.00767199
           9           0.0350628             0.12461           0.0125649
          10            0.076908             0.11984           0.0121803
          11             0.13774            0.121467           0.0111812
          12            0.077958            0.117841           0.0108213
          13            0.228609            0.126362           0.0129149
          14           0.0699008            0.122329           0.0126063
          15           0.0875875            0.120013           0.0119768
          16            0.190079            0.124392           0.0120022
          17            0.106195            0.123322           0.0113438
          18            0.203945            0.127801           0.0115641
          19            0.075511            0.125049           0.0112782
          20             0.13489            0.125541            0.010725
