#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.027676            0.027676                   0
           2            0.017094            0.022385           0.0037413
           3             0.03077             0.02518          0.00338069
           4            0.034764            0.027576          0.00327635
           5             0.03464           0.0289888          0.00290979
           6            0.032818            0.029627          0.00249383
           7             0.02524           0.0290003          0.00221492
           8             0.03237           0.0294215           0.0019777
           9            0.022514            0.028654          0.00190105
          10            0.023134            0.028102           0.0017893
          11             0.02445             0.02777          0.00165715
          12            0.027678           0.0277623          0.00151907
          13            0.028618           0.0278282          0.00140364
          14             0.02524           0.0276433           0.0013155
          15            0.026486           0.0275661          0.00123006
          16            0.031204           0.0277935          0.00117401
          17             0.02503           0.0276309          0.00111615
          18            0.033922           0.0279804          0.00110751
          19             0.02668            0.027912          0.00105133
          20            0.028746           0.0279537          0.00099959
