#   N_BLOCK:  ACCEPTANCE:
           1            0.439587
           2            0.440672
           3            0.440327
           4            0.440406
           5            0.440359
           6            0.440326
           7            0.440843
           8            0.440666
           9            0.440625
          10            0.440604
          11            0.440551
          12            0.440486
          13            0.440537
          14            0.440494
          15            0.440524
          16             0.44048
          17            0.440514
          18            0.440518
          19            0.440625
          20            0.440591
