#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.042122            0.042122                   0
           2            0.039412            0.040767          0.00095813
           3            0.033024            0.038186          0.00220205
           4            0.043044           0.0394005          0.00195802
           5            0.047174           0.0409552           0.0020946
           6            0.038034           0.0404683          0.00180119
           7            0.043092           0.0408431           0.0015824
           8            0.046966           0.0416085          0.00155874
           9            0.045276            0.042016          0.00143782
          10             0.03771           0.0415854          0.00135699
          11            0.045442            0.041936          0.00127811
          12            0.044068           0.0421137          0.00118389
          13             0.05005           0.0427242          0.00124028
          14            0.042396           0.0427007          0.00115191
          15            0.052428           0.0433492          0.00124433
          16            0.047788           0.0436266          0.00119709
          17            0.045572           0.0437411          0.00113213
          18            0.049852           0.0440806          0.00111898
          19            0.051316           0.0444614          0.00112302
          20            0.036826           0.0440796          0.00112989
