#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.083566            0.728241            0.592209           -0.424689           0.0207642                 0.8            0.518248
            0.083368            0.630543            0.589963           -0.424596           0.0207343                 0.8           -0.586429
             0.08317            0.906246            0.590999           -0.394025           0.0193074                0.76           -0.858138
            0.082972            0.747171            0.587353            -0.43456           0.0212315                0.84           -0.175826
            0.082774            0.682442            0.588221           -0.384106           0.0187999                0.78           -0.386147
            0.082576             0.80936            0.587805           -0.437225           0.0213585                0.86            0.635103
            0.082378            0.841834            0.590395           -0.426017           0.0208107                0.72            0.751277
             0.08218            0.822668            0.590889           -0.445124           0.0217391                0.72            -0.63106
            0.081982            0.643211             0.59805           -0.431745           0.0210829                0.82            -1.02454
            0.081784            0.745294            0.595904           -0.431039           0.0210516                0.84           -0.196836
            0.081586            0.703367            0.606042           -0.405718            0.019808                0.78            0.314214
            0.081388            0.736108             0.60778           -0.427494           0.0208529                 0.7            0.598106
             0.08119            0.715048            0.611525           -0.409281           0.0199785                0.82            -1.58287
            0.080992            0.907571            0.605752           -0.404489           0.0197555                0.74             1.31106
            0.080794            0.481916            0.609843           -0.400741           0.0195927                0.56            0.851284
            0.080596            0.608996            0.612894           -0.344597           0.0168694                0.72           -0.296717
            0.080398            0.658476            0.615881           -0.365018           0.0178387                0.92           -0.673058
              0.0802            0.929644            0.615018           -0.368166           0.0180267                0.94           -0.113299
            0.080002            0.718258            0.619857           -0.419218           0.0204623                 0.9            0.252321
            0.079804            0.712297            0.619846           -0.413934           0.0202139                0.82           -0.084763
            0.079606            0.855575            0.616054           -0.425172           0.0208028                0.88             -1.1146
            0.079408             0.63795            0.616901           -0.425661           0.0208047                0.78            0.255419
             0.07921            0.876406            0.613069           -0.420769            0.020594                0.64             1.31581
            0.079012            0.835191            0.608706           -0.436574           0.0213105                0.96            -1.42116
            0.078814            0.797887            0.606809           -0.449707           0.0219373                0.74            -0.93042
            0.078616            0.698705            0.599231           -0.406956           0.0198564                0.76            0.697432
            0.078418            0.700718            0.592668           -0.411323           0.0200696                0.82            0.807589
             0.07822            0.953483            0.592626           -0.411256           0.0200822                0.84             1.05814
            0.078022            0.722495            0.598081           -0.424825           0.0207388                0.96           -0.569759
            0.077824             1.06667            0.600219           -0.430011           0.0209845                0.46              1.0152
            0.077626             0.94596            0.602048           -0.363261           0.0177691                0.86           -0.550129
            0.077428            0.631169             0.59776           -0.334174           0.0163601                0.78            0.163486
             0.07723              0.6683            0.595981           -0.389031           0.0189883                0.78            0.336013
            0.077032            0.643795            0.597667           -0.359041           0.0175739                 0.9            0.934792
            0.076834             0.61067            0.597662           -0.361443           0.0176781                 0.8            0.558625
            0.076636            0.486467            0.603446           -0.321473           0.0157284                0.76            0.429659
            0.076438            0.974216            0.600245           -0.340694           0.0166929                0.98           -0.853606
             0.07624             0.62005            0.600698           -0.336399            0.016456                0.82             1.19881
            0.076042            0.561337            0.599554           -0.264698           0.0129879                 0.9             1.18361
            0.075844            0.631562            0.597647           -0.350064           0.0171389                0.86            0.287892
            0.075646            0.779957            0.592256           -0.433118           0.0211636                0.76            -1.41378
            0.075448            0.521483            0.587787            -0.43998           0.0214945                0.54            0.426236
             0.07525            0.833035            0.585488           -0.430615           0.0210226                0.98            0.878549
            0.075052            0.831555            0.582373           -0.419849           0.0204925                0.64            -1.41559
            0.074854             0.80235            0.585165           -0.439982           0.0214769                0.82           -0.782241
            0.074656            0.622797            0.582397           -0.319261           0.0157125                0.76             1.07623
            0.074458            0.552874            0.580495           -0.228285           0.0113285                0.76            0.123109
             0.07426            0.903788            0.576987           -0.399911           0.0196176                0.78            -1.30192
            0.074062            0.878525            0.579809           -0.415671           0.0203318                0.86            -0.63868
            0.073864             0.65013            0.577509           -0.362934           0.0177585                 0.8           -0.419926
            0.073666            0.566609            0.573291            -0.24108           0.0119329                0.64            -0.30114
            0.073468             1.03074            0.574496           -0.199509           0.0100388                   1            -1.18697
             0.07327            0.792158            0.583746           -0.442359           0.0216025                0.94            -1.17978
            0.073072            0.756805            0.584845           -0.424654           0.0207409                0.76            0.708714
            0.072874            0.813408            0.582961           -0.428947           0.0209249                0.76            -1.14067
            0.072676            0.587656            0.587887           -0.445553           0.0217412                0.56           -0.842711
            0.072478            0.589517            0.587187           -0.288365           0.0142679                 0.9             0.65742
             0.07228            0.525382            0.590879           -0.290842           0.0143758                0.68            0.726163
            0.072082             0.50257            0.589045           -0.162836          0.00808471                 0.7           -0.592003
            0.071884            0.792136            0.585889           -0.433959           0.0211813                0.88           -0.321896
