#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         152           -0.833609           -0.524055           0.0293656
         153           -0.169387           -0.521737            0.029265
         154           -0.169387           -0.519449           0.0291643
         155           -0.169387            -0.51719           0.0290634
         156           -0.169387           -0.514961           0.0289625
         157            -1.06268            -0.51845           0.0289874
         158           -0.324096           -0.517219             0.02883
         159           -0.324096           -0.516005           0.0286743
         160           -0.324096           -0.514805           0.0285201
         161         -0.00260238           -0.511624           0.0285199
         162            -1.01148            -0.51471           0.0285102
         163           -0.665599           -0.515635           0.0283504
         164           -0.665599            -0.51655           0.0281922
         165           -0.167326           -0.514433           0.0281007
         166           -0.167326           -0.512342           0.0280091
         167           -0.167326           -0.510276           0.0279175
         168           -0.518344           -0.510324           0.0277513
         169            -1.07888           -0.513688           0.0277903
         170            -1.07888           -0.517013            0.027825
         171            -1.07888           -0.520299           0.0278556
         172            -1.07888           -0.523546           0.0278823
         173           -0.131524            -0.52128           0.0278131
         174           -0.593752           -0.521697           0.0276564
         175           -0.593752           -0.522109           0.0275014
         176           -0.593752           -0.522516           0.0273481
         177           -0.593752           -0.522918           0.0271966
         178           -0.989774           -0.525541             0.02717
         179           -0.979683           -0.528078           0.0271364
         180           -0.979683           -0.530587           0.0271014
         181          -0.0190633           -0.527761           0.0270986
         182           -0.664138            -0.52851             0.02696
         183           -0.664138           -0.529251           0.0268229
         184           -0.720269            -0.53029           0.0266972
         185           -0.720269           -0.531316           0.0265726
         186           -0.720269           -0.532332           0.0264492
         187           -0.103877           -0.530041           0.0264068
         188           -0.103877           -0.527774           0.0263635
         189          -0.0145749           -0.525059           0.0263634
         190          -0.0145749           -0.522372           0.0263612
         191           -0.746135           -0.523544           0.0262492
         192            -1.09531           -0.526522           0.0262809
         193            -1.09531           -0.529469           0.0263094
         194           -0.129863           -0.527409           0.0262543
         195           -0.129863            -0.52537           0.0261987
         196           -0.129863           -0.523352           0.0261427
         197           -0.129863           -0.521355           0.0260862
         198           -0.165307           -0.519557           0.0260163
