# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      99                  50                   0                   1                   0                   0
      99                  50                   1                   2                   0                   0
      99                  50                   2                   2                  -1                   0
      99                  50                   3                   1                  -1                   0
      99                  50                   4                   2                  -1                   0
      99                  50                   5                   1                  -1                   0
      99                  50                   6                   1                   0                   0
      99                  50                   7                   1                   1                   0
      99                  50                   8                   0                   1                   0
      99                  50                   9                   0                   1                   1
      99                  50                  10                  -1                   1                   1
      99                  50                  11                  -1                   2                   1
      99                  50                  12                  -1                   3                   1
      99                  50                  13                   0                   3                   1
      99                  50                  14                   0                   4                   1
      99                  50                  15                   0                   3                   1
      99                  50                  16                  -1                   3                   1
      99                  50                  17                  -1                   4                   1
      99                  50                  18                  -1                   4                   0
      99                  50                  19                  -1                   4                  -1
      99                  50                  20                  -1                   4                   0
      99                  50                  21                  -1                   4                   1
      99                  50                  22                  -2                   4                   1
      99                  50                  23                  -2                   3                   1
      99                  50                  24                  -2                   4                   1
      99                  50                  25                  -2                   4                   0
      99                  50                  26                  -2                   4                  -1
      99                  50                  27                  -1                   4                  -1
      99                  50                  28                  -1                   4                  -2
      99                  50                  29                   0                   4                  -2
      99                  50                  30                  -1                   4                  -2
      99                  50                  31                   0                   4                  -2
      99                  50                  32                  -1                   4                  -2
      99                  50                  33                  -1                   3                  -2
      99                  50                  34                   0                   3                  -2
      99                  50                  35                   0                   4                  -2
      99                  50                  36                   0                   4                  -1
      99                  50                  37                   0                   5                  -1
      99                  50                  38                   0                   5                  -2
      99                  50                  39                  -1                   5                  -2
      99                  50                  40                  -1                   5                  -1
      99                  50                  41                  -2                   5                  -1
      99                  50                  42                  -2                   4                  -1
      99                  50                  43                  -2                   4                   0
      99                  50                  44                  -3                   4                   0
      99                  50                  45                  -3                   3                   0
      99                  50                  46                  -2                   3                   0
      99                  50                  47                  -2                   2                   0
      99                  50                  48                  -1                   2                   0
      99                  50                  49                  -1                   2                   1
      99                  50                  50                  -1                   2                   0
      99                  50                  51                  -1                   2                  -1
      99                  50                  52                  -1                   3                  -1
      99                  50                  53                  -1                   3                   0
      99                  50                  54                  -1                   2                   0
      99                  50                  55                   0                   2                   0
      99                  50                  56                  -1                   2                   0
      99                  50                  57                  -2                   2                   0
      99                  50                  58                  -2                   1                   0
      99                  50                  59                  -1                   1                   0
      99                  50                  60                  -1                   1                  -1
      99                  50                  61                  -1                   1                   0
      99                  50                  62                  -1                   0                   0
      99                  50                  63                   0                   0                   0
      99                  50                  64                   0                   1                   0
      99                  50                  65                  -1                   1                   0
      99                  50                  66                  -1                   1                  -1
      99                  50                  67                  -1                   1                  -2
      99                  50                  68                   0                   1                  -2
      99                  50                  69                   0                   1                  -3
      99                  50                  70                   0                   0                  -3
      99                  50                  71                   1                   0                  -3
      99                  50                  72                   2                   0                  -3
      99                  50                  73                   2                   0                  -4
      99                  50                  74                   3                   0                  -4
      99                  50                  75                   3                   0                  -3
      99                  50                  76                   3                   0                  -4
      99                  50                  77                   3                   0                  -3
      99                  50                  78                   4                   0                  -3
      99                  50                  79                   3                   0                  -3
      99                  50                  80                   3                   1                  -3
      99                  50                  81                   3                   1                  -4
      99                  50                  82                   3                   1                  -3
      99                  50                  83                   3                   1                  -4
      99                  50                  84                   3                   0                  -4
      99                  50                  85                   3                   1                  -4
      99                  50                  86                   4                   1                  -4
      99                  50                  87                   3                   1                  -4
      99                  50                  88                   2                   1                  -4
      99                  50                  89                   2                   1                  -5
      99                  50                  90                   1                   1                  -5
      99                  50                  91                   1                   1                  -6
      99                  50                  92                   1                   1                  -7
      99                  50                  93                   0                   1                  -7
      99                  50                  94                   0                   2                  -7
      99                  50                  95                   0                   2                  -8
      99                  50                  96                   0                   2                  -7
      99                  50                  97                   0                   3                  -7
      99                  50                  98                   0                   4                  -7
      99                  50                  99                   0                   4                  -8
