# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      84                  50                   0                  -1                   0                   0
      84                  50                   1                  -2                   0                   0
      84                  50                   2                  -2                   0                  -1
      84                  50                   3                  -1                   0                  -1
      84                  50                   4                  -1                   1                  -1
      84                  50                   5                  -1                   1                  -2
      84                  50                   6                  -1                   2                  -2
      84                  50                   7                  -1                   2                  -1
      84                  50                   8                  -2                   2                  -1
      84                  50                   9                  -2                   2                  -2
      84                  50                  10                  -2                   1                  -2
      84                  50                  11                  -2                   0                  -2
      84                  50                  12                  -2                   0                  -3
      84                  50                  13                  -2                   0                  -2
      84                  50                  14                  -2                   1                  -2
      84                  50                  15                  -2                   2                  -2
      84                  50                  16                  -2                   1                  -2
      84                  50                  17                  -2                   0                  -2
      84                  50                  18                  -2                   0                  -1
      84                  50                  19                  -1                   0                  -1
      84                  50                  20                  -1                   0                   0
      84                  50                  21                   0                   0                   0
      84                  50                  22                   0                  -1                   0
      84                  50                  23                   0                   0                   0
      84                  50                  24                   1                   0                   0
      84                  50                  25                   1                   1                   0
      84                  50                  26                   0                   1                   0
      84                  50                  27                   0                   1                  -1
      84                  50                  28                   0                   1                   0
      84                  50                  29                   1                   1                   0
      84                  50                  30                   1                   1                   1
      84                  50                  31                   0                   1                   1
      84                  50                  32                   0                   0                   1
      84                  50                  33                   0                  -1                   1
      84                  50                  34                   0                  -1                   0
      84                  50                  35                  -1                  -1                   0
      84                  50                  36                  -2                  -1                   0
      84                  50                  37                  -2                  -2                   0
      84                  50                  38                  -2                  -2                  -1
      84                  50                  39                  -1                  -2                  -1
      84                  50                  40                  -1                  -2                  -2
      84                  50                  41                  -1                  -1                  -2
      84                  50                  42                  -1                   0                  -2
      84                  50                  43                   0                   0                  -2
      84                  50                  44                   1                   0                  -2
      84                  50                  45                   1                   0                  -3
      84                  50                  46                   2                   0                  -3
      84                  50                  47                   2                   0                  -4
      84                  50                  48                   3                   0                  -4
      84                  50                  49                   3                   1                  -4
      84                  50                  50                   4                   1                  -4
      84                  50                  51                   4                   1                  -3
      84                  50                  52                   4                   0                  -3
      84                  50                  53                   4                  -1                  -3
      84                  50                  54                   4                  -1                  -2
      84                  50                  55                   4                  -1                  -1
      84                  50                  56                   5                  -1                  -1
      84                  50                  57                   6                  -1                  -1
      84                  50                  58                   6                  -1                  -2
      84                  50                  59                   6                  -1                  -3
      84                  50                  60                   5                  -1                  -3
      84                  50                  61                   5                  -1                  -4
      84                  50                  62                   5                  -1                  -3
      84                  50                  63                   5                  -1                  -4
      84                  50                  64                   5                  -1                  -3
      84                  50                  65                   6                  -1                  -3
      84                  50                  66                   6                  -2                  -3
      84                  50                  67                   6                  -2                  -4
      84                  50                  68                   6                  -3                  -4
      84                  50                  69                   6                  -2                  -4
      84                  50                  70                   5                  -2                  -4
      84                  50                  71                   6                  -2                  -4
      84                  50                  72                   7                  -2                  -4
      84                  50                  73                   7                  -3                  -4
      84                  50                  74                   6                  -3                  -4
      84                  50                  75                   6                  -3                  -3
      84                  50                  76                   7                  -3                  -3
      84                  50                  77                   7                  -3                  -2
      84                  50                  78                   6                  -3                  -2
      84                  50                  79                   6                  -2                  -2
      84                  50                  80                   6                  -3                  -2
      84                  50                  81                   6                  -4                  -2
      84                  50                  82                   7                  -4                  -2
      84                  50                  83                   8                  -4                  -2
      84                  50                  84                   7                  -4                  -2
      84                  50                  85                   6                  -4                  -2
      84                  50                  86                   6                  -5                  -2
      84                  50                  87                   7                  -5                  -2
      84                  50                  88                   6                  -5                  -2
      84                  50                  89                   7                  -5                  -2
      84                  50                  90                   7                  -4                  -2
      84                  50                  91                   8                  -4                  -2
      84                  50                  92                   9                  -4                  -2
      84                  50                  93                   9                  -3                  -2
      84                  50                  94                   8                  -3                  -2
      84                  50                  95                   9                  -3                  -2
      84                  50                  96                   9                  -4                  -2
      84                  50                  97                   8                  -4                  -2
      84                  50                  98                   8                  -3                  -2
      84                  50                  99                   8                  -2                  -2
