# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      24                  50                   0                  -1                   0                   0
      24                  50                   1                  -1                   0                   1
      24                  50                   2                  -1                   0                   2
      24                  50                   3                  -1                   0                   1
      24                  50                   4                  -2                   0                   1
      24                  50                   5                  -2                   0                   2
      24                  50                   6                  -3                   0                   2
      24                  50                   7                  -3                  -1                   2
      24                  50                   8                  -2                  -1                   2
      24                  50                   9                  -2                  -2                   2
      24                  50                  10                  -3                  -2                   2
      24                  50                  11                  -3                  -2                   1
      24                  50                  12                  -3                  -2                   2
      24                  50                  13                  -3                  -2                   1
      24                  50                  14                  -3                  -1                   1
      24                  50                  15                  -3                  -1                   0
      24                  50                  16                  -3                  -1                   1
      24                  50                  17                  -2                  -1                   1
      24                  50                  18                  -1                  -1                   1
      24                  50                  19                  -1                  -1                   2
      24                  50                  20                  -1                   0                   2
      24                  50                  21                  -1                   0                   3
      24                  50                  22                  -1                   0                   2
      24                  50                  23                  -1                   0                   1
      24                  50                  24                  -1                  -1                   1
      24                  50                  25                  -2                  -1                   1
      24                  50                  26                  -2                  -1                   2
      24                  50                  27                  -2                  -2                   2
      24                  50                  28                  -2                  -3                   2
      24                  50                  29                  -2                  -3                   3
      24                  50                  30                  -1                  -3                   3
      24                  50                  31                   0                  -3                   3
      24                  50                  32                   0                  -4                   3
      24                  50                  33                  -1                  -4                   3
      24                  50                  34                  -1                  -5                   3
      24                  50                  35                  -1                  -6                   3
      24                  50                  36                  -1                  -7                   3
      24                  50                  37                  -1                  -6                   3
      24                  50                  38                  -1                  -5                   3
      24                  50                  39                  -1                  -5                   4
      24                  50                  40                  -1                  -4                   4
      24                  50                  41                  -1                  -5                   4
      24                  50                  42                  -1                  -6                   4
      24                  50                  43                  -1                  -7                   4
      24                  50                  44                  -1                  -6                   4
      24                  50                  45                  -2                  -6                   4
      24                  50                  46                  -3                  -6                   4
      24                  50                  47                  -2                  -6                   4
      24                  50                  48                  -2                  -7                   4
      24                  50                  49                  -2                  -6                   4
      24                  50                  50                  -2                  -5                   4
      24                  50                  51                  -3                  -5                   4
      24                  50                  52                  -4                  -5                   4
      24                  50                  53                  -3                  -5                   4
      24                  50                  54                  -3                  -4                   4
      24                  50                  55                  -3                  -4                   5
      24                  50                  56                  -3                  -4                   4
      24                  50                  57                  -3                  -4                   3
      24                  50                  58                  -3                  -4                   4
      24                  50                  59                  -3                  -4                   5
      24                  50                  60                  -4                  -4                   5
      24                  50                  61                  -4                  -5                   5
      24                  50                  62                  -4                  -6                   5
      24                  50                  63                  -5                  -6                   5
      24                  50                  64                  -5                  -5                   5
      24                  50                  65                  -5                  -6                   5
      24                  50                  66                  -5                  -5                   5
      24                  50                  67                  -5                  -5                   4
      24                  50                  68                  -5                  -5                   3
      24                  50                  69                  -5                  -5                   2
      24                  50                  70                  -5                  -5                   1
      24                  50                  71                  -6                  -5                   1
      24                  50                  72                  -6                  -5                   0
      24                  50                  73                  -6                  -5                   1
      24                  50                  74                  -7                  -5                   1
      24                  50                  75                  -7                  -5                   0
      24                  50                  76                  -7                  -6                   0
      24                  50                  77                  -7                  -5                   0
      24                  50                  78                  -7                  -5                  -1
      24                  50                  79                  -8                  -5                  -1
      24                  50                  80                  -9                  -5                  -1
      24                  50                  81                  -9                  -4                  -1
      24                  50                  82                  -9                  -5                  -1
      24                  50                  83                  -9                  -4                  -1
      24                  50                  84                  -9                  -3                  -1
      24                  50                  85                  -9                  -2                  -1
      24                  50                  86                  -9                  -2                   0
      24                  50                  87                 -10                  -2                   0
      24                  50                  88                 -10                  -2                   1
      24                  50                  89                 -10                  -2                   2
      24                  50                  90                 -10                  -2                   3
      24                  50                  91                 -10                  -1                   3
      24                  50                  92                 -10                   0                   3
      24                  50                  93                 -10                  -1                   3
      24                  50                  94                  -9                  -1                   3
      24                  50                  95                  -9                  -2                   3
      24                  50                  96                  -8                  -2                   3
      24                  50                  97                  -8                  -2                   2
      24                  50                  98                  -9                  -2                   2
      24                  50                  99                  -9                  -2                   3
