# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
       6                  50                   0                   1                   0                   0
       6                  50                   1                   0                   0                   0
       6                  50                   2                  -1                   0                   0
       6                  50                   3                   0                   0                   0
       6                  50                   4                  -1                   0                   0
       6                  50                   5                  -1                   0                  -1
       6                  50                   6                   0                   0                  -1
       6                  50                   7                   0                  -1                  -1
       6                  50                   8                   0                  -1                  -2
       6                  50                   9                   0                  -2                  -2
       6                  50                  10                  -1                  -2                  -2
       6                  50                  11                  -1                  -1                  -2
       6                  50                  12                  -1                  -1                  -1
       6                  50                  13                  -1                  -1                  -2
       6                  50                  14                  -1                  -2                  -2
       6                  50                  15                   0                  -2                  -2
       6                  50                  16                   0                  -2                  -1
       6                  50                  17                   0                  -2                  -2
       6                  50                  18                   1                  -2                  -2
       6                  50                  19                   2                  -2                  -2
       6                  50                  20                   2                  -2                  -3
       6                  50                  21                   2                  -2                  -2
       6                  50                  22                   2                  -3                  -2
       6                  50                  23                   2                  -2                  -2
       6                  50                  24                   2                  -3                  -2
       6                  50                  25                   2                  -3                  -3
       6                  50                  26                   1                  -3                  -3
       6                  50                  27                   1                  -3                  -2
       6                  50                  28                   2                  -3                  -2
       6                  50                  29                   2                  -2                  -2
       6                  50                  30                   2                  -3                  -2
       6                  50                  31                   2                  -2                  -2
       6                  50                  32                   2                  -3                  -2
       6                  50                  33                   2                  -3                  -1
       6                  50                  34                   2                  -2                  -1
       6                  50                  35                   3                  -2                  -1
       6                  50                  36                   2                  -2                  -1
       6                  50                  37                   2                  -2                   0
       6                  50                  38                   2                  -3                   0
       6                  50                  39                   3                  -3                   0
       6                  50                  40                   3                  -3                   1
       6                  50                  41                   4                  -3                   1
       6                  50                  42                   3                  -3                   1
       6                  50                  43                   3                  -3                   0
       6                  50                  44                   3                  -3                   1
       6                  50                  45                   3                  -2                   1
       6                  50                  46                   3                  -3                   1
       6                  50                  47                   3                  -2                   1
       6                  50                  48                   3                  -2                   0
       6                  50                  49                   4                  -2                   0
       6                  50                  50                   4                  -2                   1
       6                  50                  51                   4                  -2                   0
       6                  50                  52                   4                  -1                   0
       6                  50                  53                   4                   0                   0
       6                  50                  54                   4                   1                   0
       6                  50                  55                   4                   2                   0
       6                  50                  56                   4                   3                   0
       6                  50                  57                   4                   2                   0
       6                  50                  58                   4                   1                   0
       6                  50                  59                   4                   1                  -1
       6                  50                  60                   4                   1                   0
       6                  50                  61                   4                   1                  -1
       6                  50                  62                   4                   1                  -2
       6                  50                  63                   5                   1                  -2
       6                  50                  64                   4                   1                  -2
       6                  50                  65                   4                   1                  -1
       6                  50                  66                   4                   2                  -1
       6                  50                  67                   3                   2                  -1
       6                  50                  68                   3                   2                   0
       6                  50                  69                   3                   2                   1
       6                  50                  70                   3                   1                   1
       6                  50                  71                   2                   1                   1
       6                  50                  72                   2                   2                   1
       6                  50                  73                   2                   2                   2
       6                  50                  74                   2                   2                   1
       6                  50                  75                   2                   3                   1
       6                  50                  76                   3                   3                   1
       6                  50                  77                   2                   3                   1
       6                  50                  78                   2                   2                   1
       6                  50                  79                   3                   2                   1
       6                  50                  80                   3                   2                   2
       6                  50                  81                   3                   2                   3
       6                  50                  82                   3                   3                   3
       6                  50                  83                   2                   3                   3
       6                  50                  84                   2                   4                   3
       6                  50                  85                   2                   4                   2
       6                  50                  86                   2                   3                   2
       6                  50                  87                   2                   2                   2
       6                  50                  88                   1                   2                   2
       6                  50                  89                   1                   3                   2
       6                  50                  90                   1                   4                   2
       6                  50                  91                   1                   4                   3
       6                  50                  92                   0                   4                   3
       6                  50                  93                  -1                   4                   3
       6                  50                  94                  -1                   4                   4
       6                  50                  95                  -2                   4                   4
       6                  50                  96                  -2                   3                   4
       6                  50                  97                  -1                   3                   4
       6                  50                  98                  -1                   2                   4
       6                  50                  99                  -1                   2                   3
