# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      14                  50                   0                   0                   0                  -1
      14                  50                   1                   0                   0                   0
      14                  50                   2                   0                  -1                   0
      14                  50                   3                   1                  -1                   0
      14                  50                   4                   1                   0                   0
      14                  50                   5                   0                   0                   0
      14                  50                   6                   0                  -1                   0
      14                  50                   7                   0                  -1                  -1
      14                  50                   8                  -1                  -1                  -1
      14                  50                   9                   0                  -1                  -1
      14                  50                  10                   0                   0                  -1
      14                  50                  11                  -1                   0                  -1
      14                  50                  12                  -1                   0                  -2
      14                  50                  13                  -1                   0                  -3
      14                  50                  14                  -2                   0                  -3
      14                  50                  15                  -1                   0                  -3
      14                  50                  16                  -1                   0                  -4
      14                  50                  17                  -1                   1                  -4
      14                  50                  18                  -2                   1                  -4
      14                  50                  19                  -2                   0                  -4
      14                  50                  20                  -2                   0                  -3
      14                  50                  21                  -2                   0                  -2
      14                  50                  22                  -2                   0                  -3
      14                  50                  23                  -3                   0                  -3
      14                  50                  24                  -3                   1                  -3
      14                  50                  25                  -2                   1                  -3
      14                  50                  26                  -3                   1                  -3
      14                  50                  27                  -3                   2                  -3
      14                  50                  28                  -3                   2                  -2
      14                  50                  29                  -2                   2                  -2
      14                  50                  30                  -2                   3                  -2
      14                  50                  31                  -1                   3                  -2
      14                  50                  32                  -1                   4                  -2
      14                  50                  33                  -2                   4                  -2
      14                  50                  34                  -2                   4                  -3
      14                  50                  35                  -2                   4                  -2
      14                  50                  36                  -3                   4                  -2
      14                  50                  37                  -2                   4                  -2
      14                  50                  38                  -2                   4                  -3
      14                  50                  39                  -1                   4                  -3
      14                  50                  40                  -1                   3                  -3
      14                  50                  41                  -2                   3                  -3
      14                  50                  42                  -2                   3                  -2
      14                  50                  43                  -2                   3                  -1
      14                  50                  44                  -2                   2                  -1
      14                  50                  45                  -3                   2                  -1
      14                  50                  46                  -3                   1                  -1
      14                  50                  47                  -2                   1                  -1
      14                  50                  48                  -1                   1                  -1
      14                  50                  49                   0                   1                  -1
      14                  50                  50                   0                   1                   0
      14                  50                  51                   0                   0                   0
      14                  50                  52                   0                   0                   1
      14                  50                  53                   0                   1                   1
      14                  50                  54                   1                   1                   1
      14                  50                  55                   1                   0                   1
      14                  50                  56                   1                   1                   1
      14                  50                  57                   1                   2                   1
      14                  50                  58                   1                   3                   1
      14                  50                  59                   1                   3                   0
      14                  50                  60                   0                   3                   0
      14                  50                  61                   0                   4                   0
      14                  50                  62                   0                   4                   1
      14                  50                  63                   0                   3                   1
      14                  50                  64                  -1                   3                   1
      14                  50                  65                  -2                   3                   1
      14                  50                  66                  -2                   3                   0
      14                  50                  67                  -2                   3                  -1
      14                  50                  68                  -1                   3                  -1
      14                  50                  69                   0                   3                  -1
      14                  50                  70                   0                   2                  -1
      14                  50                  71                   0                   2                  -2
      14                  50                  72                   0                   2                  -3
      14                  50                  73                   0                   1                  -3
      14                  50                  74                   0                   0                  -3
      14                  50                  75                   0                   1                  -3
      14                  50                  76                   0                   1                  -2
      14                  50                  77                   0                   0                  -2
      14                  50                  78                  -1                   0                  -2
      14                  50                  79                  -2                   0                  -2
      14                  50                  80                  -3                   0                  -2
      14                  50                  81                  -4                   0                  -2
      14                  50                  82                  -4                  -1                  -2
      14                  50                  83                  -4                  -2                  -2
      14                  50                  84                  -5                  -2                  -2
      14                  50                  85                  -4                  -2                  -2
      14                  50                  86                  -4                  -3                  -2
      14                  50                  87                  -4                  -2                  -2
      14                  50                  88                  -3                  -2                  -2
      14                  50                  89                  -3                  -2                  -1
      14                  50                  90                  -3                  -2                   0
      14                  50                  91                  -3                  -2                   1
      14                  50                  92                  -3                  -1                   1
      14                  50                  93                  -4                  -1                   1
      14                  50                  94                  -3                  -1                   1
      14                  50                  95                  -3                  -1                   0
      14                  50                  96                  -3                   0                   0
      14                  50                  97                  -3                   0                  -1
      14                  50                  98                  -3                   0                   0
      14                  50                  99                  -3                   0                  -1
