# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
       5                  50                   0                   0                   1                   0
       5                  50                   1                   0                   1                  -1
       5                  50                   2                   0                   1                  -2
       5                  50                   3                   0                   1                  -3
       5                  50                   4                   0                   1                  -2
       5                  50                   5                  -1                   1                  -2
       5                  50                   6                  -1                   1                  -1
       5                  50                   7                  -2                   1                  -1
       5                  50                   8                  -3                   1                  -1
       5                  50                   9                  -3                   1                   0
       5                  50                  10                  -3                   0                   0
       5                  50                  11                  -2                   0                   0
       5                  50                  12                  -2                   1                   0
       5                  50                  13                  -3                   1                   0
       5                  50                  14                  -3                   1                  -1
       5                  50                  15                  -3                   0                  -1
       5                  50                  16                  -3                   0                  -2
       5                  50                  17                  -2                   0                  -2
       5                  50                  18                  -1                   0                  -2
       5                  50                  19                  -1                   0                  -1
       5                  50                  20                   0                   0                  -1
       5                  50                  21                   0                   0                  -2
       5                  50                  22                  -1                   0                  -2
       5                  50                  23                  -2                   0                  -2
       5                  50                  24                  -2                   1                  -2
       5                  50                  25                  -2                   1                  -1
       5                  50                  26                  -2                   1                  -2
       5                  50                  27                  -2                   2                  -2
       5                  50                  28                  -2                   2                  -1
       5                  50                  29                  -2                   1                  -1
       5                  50                  30                  -2                   1                  -2
       5                  50                  31                  -2                   1                  -1
       5                  50                  32                  -2                   2                  -1
       5                  50                  33                  -3                   2                  -1
       5                  50                  34                  -3                   1                  -1
       5                  50                  35                  -3                   1                  -2
       5                  50                  36                  -2                   1                  -2
       5                  50                  37                  -2                   1                  -3
       5                  50                  38                  -2                   0                  -3
       5                  50                  39                  -2                  -1                  -3
       5                  50                  40                  -2                  -1                  -2
       5                  50                  41                  -2                  -1                  -1
       5                  50                  42                  -2                  -1                  -2
       5                  50                  43                  -3                  -1                  -2
       5                  50                  44                  -3                  -1                  -3
       5                  50                  45                  -3                  -2                  -3
       5                  50                  46                  -3                  -1                  -3
       5                  50                  47                  -3                  -1                  -4
       5                  50                  48                  -3                  -1                  -3
       5                  50                  49                  -2                  -1                  -3
       5                  50                  50                  -2                  -2                  -3
       5                  50                  51                  -3                  -2                  -3
       5                  50                  52                  -2                  -2                  -3
       5                  50                  53                  -2                  -2                  -4
       5                  50                  54                  -3                  -2                  -4
       5                  50                  55                  -3                  -2                  -3
       5                  50                  56                  -4                  -2                  -3
       5                  50                  57                  -3                  -2                  -3
       5                  50                  58                  -3                  -2                  -4
       5                  50                  59                  -3                  -2                  -3
       5                  50                  60                  -3                  -1                  -3
       5                  50                  61                  -3                  -1                  -4
       5                  50                  62                  -3                  -1                  -5
       5                  50                  63                  -4                  -1                  -5
       5                  50                  64                  -4                   0                  -5
       5                  50                  65                  -4                   0                  -4
       5                  50                  66                  -4                   1                  -4
       5                  50                  67                  -4                   0                  -4
       5                  50                  68                  -4                   1                  -4
       5                  50                  69                  -3                   1                  -4
       5                  50                  70                  -3                   2                  -4
       5                  50                  71                  -2                   2                  -4
       5                  50                  72                  -2                   1                  -4
       5                  50                  73                  -3                   1                  -4
       5                  50                  74                  -2                   1                  -4
       5                  50                  75                  -2                   0                  -4
       5                  50                  76                  -3                   0                  -4
       5                  50                  77                  -3                  -1                  -4
       5                  50                  78                  -3                  -1                  -3
       5                  50                  79                  -2                  -1                  -3
       5                  50                  80                  -2                  -1                  -2
       5                  50                  81                  -1                  -1                  -2
       5                  50                  82                  -1                  -2                  -2
       5                  50                  83                  -1                  -2                  -3
       5                  50                  84                  -1                  -2                  -4
       5                  50                  85                  -1                  -2                  -5
       5                  50                  86                  -2                  -2                  -5
       5                  50                  87                  -2                  -2                  -4
       5                  50                  88                  -2                  -3                  -4
       5                  50                  89                  -3                  -3                  -4
       5                  50                  90                  -3                  -2                  -4
       5                  50                  91                  -4                  -2                  -4
       5                  50                  92                  -5                  -2                  -4
       5                  50                  93                  -6                  -2                  -4
       5                  50                  94                  -6                  -2                  -5
       5                  50                  95                  -6                  -3                  -5
       5                  50                  96                  -6                  -4                  -5
       5                  50                  97                  -6                  -3                  -5
       5                  50                  98                  -7                  -3                  -5
       5                  50                  99                  -8                  -3                  -5
