# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      65                  50                   0                   1                   0                   0
      65                  50                   1                   0                   0                   0
      65                  50                   2                  -1                   0                   0
      65                  50                   3                  -1                   0                  -1
      65                  50                   4                  -1                   0                   0
      65                  50                   5                  -2                   0                   0
      65                  50                   6                  -2                   0                  -1
      65                  50                   7                  -2                   0                  -2
      65                  50                   8                  -2                  -1                  -2
      65                  50                   9                  -1                  -1                  -2
      65                  50                  10                  -2                  -1                  -2
      65                  50                  11                  -1                  -1                  -2
      65                  50                  12                  -1                  -2                  -2
      65                  50                  13                  -1                  -2                  -3
      65                  50                  14                  -1                  -2                  -2
      65                  50                  15                  -1                  -1                  -2
      65                  50                  16                  -2                  -1                  -2
      65                  50                  17                  -2                  -2                  -2
      65                  50                  18                  -2                  -3                  -2
      65                  50                  19                  -2                  -3                  -3
      65                  50                  20                  -1                  -3                  -3
      65                  50                  21                  -1                  -2                  -3
      65                  50                  22                   0                  -2                  -3
      65                  50                  23                   0                  -3                  -3
      65                  50                  24                   0                  -3                  -4
      65                  50                  25                   0                  -3                  -3
      65                  50                  26                   0                  -3                  -2
      65                  50                  27                  -1                  -3                  -2
      65                  50                  28                  -1                  -3                  -1
      65                  50                  29                  -1                  -3                  -2
      65                  50                  30                  -1                  -4                  -2
      65                  50                  31                  -1                  -5                  -2
      65                  50                  32                  -1                  -6                  -2
      65                  50                  33                  -1                  -6                  -1
      65                  50                  34                  -1                  -5                  -1
      65                  50                  35                   0                  -5                  -1
      65                  50                  36                   0                  -4                  -1
      65                  50                  37                   0                  -5                  -1
      65                  50                  38                   0                  -5                   0
      65                  50                  39                  -1                  -5                   0
      65                  50                  40                  -1                  -5                  -1
      65                  50                  41                  -1                  -5                  -2
      65                  50                  42                  -1                  -6                  -2
      65                  50                  43                  -1                  -6                  -1
      65                  50                  44                  -1                  -7                  -1
      65                  50                  45                   0                  -7                  -1
      65                  50                  46                  -1                  -7                  -1
      65                  50                  47                  -2                  -7                  -1
      65                  50                  48                  -2                  -6                  -1
      65                  50                  49                  -2                  -6                   0
      65                  50                  50                  -2                  -6                   1
      65                  50                  51                  -2                  -6                   0
      65                  50                  52                  -1                  -6                   0
      65                  50                  53                  -1                  -6                   1
      65                  50                  54                   0                  -6                   1
      65                  50                  55                   0                  -5                   1
      65                  50                  56                   0                  -4                   1
      65                  50                  57                  -1                  -4                   1
      65                  50                  58                  -1                  -5                   1
      65                  50                  59                  -2                  -5                   1
      65                  50                  60                  -2                  -5                   0
      65                  50                  61                  -2                  -6                   0
      65                  50                  62                  -3                  -6                   0
      65                  50                  63                  -3                  -6                   1
      65                  50                  64                  -3                  -6                   0
      65                  50                  65                  -2                  -6                   0
      65                  50                  66                  -2                  -7                   0
      65                  50                  67                  -1                  -7                   0
      65                  50                  68                  -1                  -6                   0
      65                  50                  69                  -1                  -6                   1
      65                  50                  70                  -1                  -6                   2
      65                  50                  71                   0                  -6                   2
      65                  50                  72                   0                  -6                   1
      65                  50                  73                   0                  -6                   2
      65                  50                  74                  -1                  -6                   2
      65                  50                  75                  -1                  -6                   1
      65                  50                  76                  -1                  -5                   1
      65                  50                  77                  -1                  -6                   1
      65                  50                  78                   0                  -6                   1
      65                  50                  79                   1                  -6                   1
      65                  50                  80                   0                  -6                   1
      65                  50                  81                   1                  -6                   1
      65                  50                  82                   1                  -6                   2
      65                  50                  83                   0                  -6                   2
      65                  50                  84                  -1                  -6                   2
      65                  50                  85                  -1                  -5                   2
      65                  50                  86                  -2                  -5                   2
      65                  50                  87                  -2                  -5                   1
      65                  50                  88                  -2                  -4                   1
      65                  50                  89                  -2                  -4                   2
      65                  50                  90                  -2                  -5                   2
      65                  50                  91                  -2                  -5                   3
      65                  50                  92                  -2                  -5                   2
      65                  50                  93                  -2                  -4                   2
      65                  50                  94                  -3                  -4                   2
      65                  50                  95                  -2                  -4                   2
      65                  50                  96                  -2                  -5                   2
      65                  50                  97                  -2                  -6                   2
      65                  50                  98                  -1                  -6                   2
      65                  50                  99                  -1                  -7                   2
