#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             1.73057             1.73057                   0
           2             1.67724              1.7039           0.0188546
           3              1.6454              1.6844           0.0202849
           4             1.70855             1.69044           0.0160871
           5             1.68128             1.68861           0.0129736
           6             1.67497             1.68634           0.0110087
           7             1.70164             1.68852          0.00965074
           8             1.71427             1.69174          0.00896516
           9             1.69544             1.69215          0.00797845
          10             1.71571             1.69451          0.00752026
          11             1.69423             1.69448          0.00683665
          12             1.69292             1.69435          0.00626817
          13             1.72446             1.69667          0.00619912
          14              1.6772             1.69528          0.00591023
          15             1.73131             1.69768          0.00598443
          16             1.76422             1.70184          0.00690603
          17             1.68062             1.70059          0.00661167
          18              1.6984             1.70047          0.00624547
          19             1.67602             1.69918          0.00604789
          20             1.70416             1.69943          0.00575063
