#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1             0.23213             0.23213                   0
           2            0.225267            0.228699          0.00242649
           3            0.229654            0.229017           0.0016384
           4            0.233308             0.23009           0.0015405
           5            0.231622            0.230396           0.0012625
           6            0.226785            0.229794          0.00118693
           7            0.224565            0.229047          0.00123018
           8            0.232197            0.229441          0.00113765
           9            0.232586             0.22979          0.00106355
          10            0.226728            0.229484          0.00100031
          11            0.231865            0.229701         0.000932492
          12            0.231173            0.229823          0.00086282
          13            0.230207            0.229853         0.000796955
          14            0.232146            0.230017         0.000756669
          15            0.228163            0.229893          0.00071624
          16            0.231202            0.229975          0.00067613
          17             0.22576            0.229727         0.000680292
          18            0.235414            0.230043         0.000712101
          19             0.23114            0.230101         0.000676959
          20             0.22462            0.229827         0.000696369
