#   N_BLOCK:  ACCEPTANCE:
           1            0.495122
           2             0.49571
           3            0.495908
           4            0.496093
           5            0.495991
           6            0.496165
           7             0.49589
           8            0.495536
           9            0.495648
          10             0.49549
          11            0.495572
          12            0.495489
          13            0.495485
          14            0.495441
          15            0.495306
          16            0.495211
          17            0.495211
          18            0.495212
          19              0.4952
          20            0.495136
